Date,Price,BSADF Score,vol_5d,Slip %,6M Bwd %,6M Fwd %,Verdict
2006-12-19,138.2,1.099,0.0088,2.5,68.7,22.7,Bubble-Tag
2006-12-27,139.0,1.017,0.0283,6.16,78.7,18.8,Bubble-Tag
2007-01-03,142.9,1.211,0.0166,3.82,70.8,18.9,Bubble-Tag
2007-01-12,147.5,1.269,0.0197,4.45,81.2,16.8,Bubble-Tag
2010-10-20,175.6,1.124,0.0084,2.5,18.0,2.6,Indifferent
2010-10-25,176.0,1.01,0.0106,2.62,26.7,-1.4,Bubble-Tag
2010-10-27,180.5,1.502,0.0148,3.46,24.3,0.5,Bubble-Tag
2010-11-02,180.0,1.046,0.0257,5.63,33.3,1.6,Bubble-Tag
2010-11-10,182.8,1.143,0.0117,2.84,35.2,-4.3,Bubble-Tag
2017-05-08,612.0,1.026,0.0066,2.5,25.5,9.2,Bubble-Tag
2020-01-17,921.2,1.072,0.0038,2.5,18.3,-4.8,Indifferent
2021-04-09,1265.5,1.023,0.0147,3.45,51.7,8.1,Bubble-Tag
2021-04-20,1321.0,1.244,0.0173,3.96,50.0,17.8,Bubble-Tag
2021-07-27,1529.5,1.022,0.0173,3.97,39.6,-10.8,Bubble-Tag
2021-07-30,1532.5,1.013,0.0129,3.09,46.8,-18.2,Bubble-Tag
2021-08-16,1597.5,1.173,0.0159,3.67,41.7,-19.4,Bubble-Tag
2021-08-24,1610.5,1.024,0.0159,3.68,48.9,-22.9,Bubble-Tag
