Basis-Kosten %,Panik-Slippage %,V7 Total Return %,V7 Max DD %,Momentum Total Return %
0.15,2.5,703.69,-61.11,570.42
0.15,5.0,482.46,-62.03,570.42
0.15,10.0,199.78,-70.13,570.42
0.15,15.0,49.84,-76.77,570.42
0.3,2.5,613.22,-61.43,218.06
0.3,5.0,416.89,-62.87,218.06
0.3,10.0,166.04,-70.8,218.06
0.3,15.0,32.98,-77.29,218.06
0.45,2.5,532.87,-61.75,50.72
0.45,5.0,358.66,-63.7,50.72
0.45,10.0,136.07,-71.45,50.72
0.45,15.0,18.0,-77.8,50.72
0.6,2.5,461.51,-62.07,-28.66
0.6,5.0,306.94,-64.51,-28.66
0.6,10.0,109.45,-72.09,-28.66
0.6,15.0,4.69,-78.29,-28.66
